2881 Fubon,,,,,,,
Year,Month,Date,Opening,High,Low,Closing,Volume
2017,1,3,51.2,51.4,50.7,51.4,5281
2017,1,4,51.4,51.5,51,51.1,10419
2017,1,5,51.3,51.5,51.1,51.4,10182
2017,1,6,51.9,51.9,51.2,51.6,8610
2017,1,9,51.4,52.5,51.4,51.7,13762
2017,1,10,51.7,52,51.3,52,10085
2017,1,11,52.3,52.4,51.7,51.7,9478
2017,1,12,52.1,52.6,51.9,52.2,15453
2017,1,13,52.2,52.3,51.2,51.3,12500
2017,1,16,51.2,51.2,50.3,50.4,12164
2017,1,17,50.4,51.3,50.4,51.3,8649
2017,1,18,51,51.2,50.3,50.5,15347
2017,1,19,50.3,50.6,50.1,50.2,9846
2017,1,20,50,50.8,50,50.5,11311
2017,1,23,50.9,51.2,50.7,50.7,11126
2017,1,24,51.1,51.1,50.6,50.6,9829
2017,2,2,51.2,51.4,49.95,50.1,24838
2017,2,3,50,50.2,49.4,49.4,26328
2017,2,6,49.8,51,49.7,50.5,23347
2017,2,7,50.5,50.8,50.1,50.7,9379
2017,2,8,50.5,50.9,50.1,50.4,11658
2017,2,9,50.8,50.8,50.3,50.7,11419
2017,2,10,50.2,51.5,50.2,51,25132
2017,2,13,51.4,51.4,50.5,50.7,12218
2017,2,14,50.6,51.3,50.6,51.3,19959
2017,2,15,51.1,51.5,50.9,51.2,19926
2017,2,16,51.5,51.8,50.9,51.3,17624
2017,2,17,51.2,51.3,50.6,50.8,12635
2017,2,18,50.9,51,50.6,50.6,3422
2017,2,20,50.7,51.1,50.2,50.2,11393
2017,2,21,50.3,51,50.2,50.5,14383
2017,2,22,50.8,50.9,50.2,50.2,13300
2017,2,23,50.2,50.2,49.6,49.85,23827
2017,2,24,49.85,49.9,49.65,49.75,12805
2017,3,1,49.75,49.8,49.5,49.6,14002
2017,3,2,50.4,51,49.75,49.8,26415
2017,3,3,49.8,50.2,49.6,49.8,13736
2017,3,6,49.8,50.5,49.8,50.5,6783
2017,3,7,50.6,50.6,50.3,50.6,8539
2017,3,8,50.6,51.6,50.4,51.5,20965
2017,3,9,51.7,51.7,51,51.1,14068
2017,3,10,51.2,51.9,51,51.9,22244
2017,3,13,52,52.8,52,52.3,18479
2017,3,14,52.5,52.6,52,52.1,22295
2017,3,15,52.2,52.2,51.6,52.2,10659
2017,3,16,51.9,52.6,51.5,52.2,16309
2017,3,17,52.2,52.7,52.2,52.7,17100
2017,3,20,52.2,52.6,52.1,52.5,7543
2017,3,21,52.6,52.6,51.8,52.5,16134
2017,3,22,51.6,52.4,51.5,52.4,13363
2017,3,23,52.6,53.4,52.3,53.1,13241
2017,3,24,53,53,52.6,52.7,7529
2017,3,27,51.8,51.8,51.5,51.8,22941
2017,3,28,51.8,51.8,50.3,51,26177
2017,3,29,50.8,50.9,50.1,50.5,25221
2017,3,30,50.5,50.7,49.9,49.95,33856
2017,3,31,49.6,50,49.5,49.5,30679
2017,4,5,49.2,49.45,48.6,49,48053
2017,4,6,48.95,49.35,48.7,48.8,29582
2017,4,7,48.75,48.75,48.1,48.15,38811
2017,4,10,48.3,48.5,48.15,48.35,13917
2017,4,11,48.35,48.6,48,48,21651
2017,4,12,48,48.15,47.7,47.8,22529
2017,4,13,47.9,48.2,47.85,47.9,14063
2017,4,14,47.8,47.8,47.2,47.3,17208
2017,4,17,47.45,47.6,46.9,47.25,18775
2017,4,18,47.3,47.45,46.05,46.5,37311
2017,4,19,46.4,47.4,46.35,46.5,34008
2017,4,20,46.8,47.2,46.5,47.05,34695
2017,4,21,47.3,47.4,46.9,46.95,19990
2017,4,24,47.4,47.4,46.9,47,8473
2017,4,25,47.5,47.95,47.1,47.75,23493
2017,4,26,47.95,48.05,47,47,38542
2017,4,27,47.2,47.35,47,47.25,12004
2017,4,28,47.25,47.35,47.05,47.3,14398
2017,5,2,47.45,47.75,47.35,47.55,17017
2017,5,3,47.7,47.7,47.45,47.6,9160
2017,5,4,47.7,47.7,47.45,47.7,9874
2017,5,5,47.75,47.75,47.55,47.6,10883
2017,5,8,47.7,47.8,47.45,47.65,11171
2017,5,9,47.7,47.9,47.5,47.7,11505
2017,5,10,47.8,47.85,47.5,47.5,12471
2017,5,11,47.7,47.8,47.5,47.8,9564
2017,5,12,47.7,47.75,47.6,47.6,7972
2017,5,15,47.65,47.95,47.65,47.95,14747
2017,5,16,48,48.45,47.95,48.3,30847
2017,5,17,48.3,48.35,47.9,48.2,15302
2017,5,18,47.75,47.75,47.5,47.6,13338
2017,5,19,47.55,47.55,47.2,47.25,12866
2017,5,22,47.5,47.55,47.1,47.45,8985
2017,5,23,47.3,47.45,47.2,47.35,8780
2017,5,24,47.4,47.5,47.35,47.35,8826
2017,5,25,47.4,47.65,47.4,47.5,8040
2017,5,26,47.4,47.45,46.95,47.1,18183
2017,5,31,47,47.05,45.85,45.85,40571
2017,6,1,45.9,46.25,45.85,45.95,18764
2017,6,2,46.25,46.3,45.95,46.15,16536
2017,6,3,46.3,46.5,46.2,46.45,4528
2017,6,5,46.1,46.3,45.95,46.05,25776
2017,6,6,46,46,45.8,45.9,24859
2017,6,7,45.8,45.95,45.8,45.85,27061
2017,6,8,45.7,46.1,45.7,45.85,26319
2017,6,9,45.9,46.15,45.8,45.8,21648
2017,6,12,46.05,46.5,46,46,21536
2017,6,13,46.4,46.45,46.2,46.25,17416
2017,6,14,46.2,46.35,46,46.25,16877
2017,6,15,46.1,46.35,46.05,46.3,7800
2017,6,16,46.3,46.35,46.2,46.35,12755
2017,6,19,46.4,46.8,46.4,46.8,15484
2017,6,20,46.9,47.45,46.8,47.45,17767
2017,6,21,47.45,47.55,47.1,47.4,17468
2017,6,22,47.25,47.4,47.2,47.25,10579
2017,6,23,47.1,47.4,47.05,47.4,11131
2017,6,26,47.5,48.4,47.5,48.4,33176
2017,6,27,48.5,48.7,48.1,48.4,27571
2017,6,28,48.3,48.5,47.85,47.85,26647
2017,6,29,48.45,48.65,48.25,48.35,25503
2017,6,30,48.25,48.5,48.15,48.45,37311
